旧通番,通番,"大
分類","中
分類",小分類,No.,大分類名,中分類名,小分類名,テストシナリオ,確認ポイント,払込票番号,引換票番号,"チケット
代金","チケット
購入代金","チケット
発券代金","合計
金額","発券
枚数","支払い
期限日時","発券
期限日時","発券
開始日時",備考,実施日
,,,,,,,,,,,,,,,,,,,,,,
1,1,21,1,1,1,店舗本部内正常系機能確認テスト,通常受付,"チケット入金・発券
基本操作確認","代引き
※合計3万円超　印紙あり",通常に受付ができること,,,30000,210,105,30315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,2,21,1,1,2,,,,"代済み
※合計3万円超　印紙あり",通常に受付ができること,,,0,0,30000,30000,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,3,21,1,1,3,,,,"前払い後日発券
※合計3万円超　印紙あり",通常に受付ができること,,,30000,210,105,30315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
,4,21,1,1,4,,,,"前払い
※合計3万円超　印紙あり",通常に受付ができること,,,30000,210,0,30210,0,2012/6/20 0:00,-,-,,6月13日
,5,21,1,2,1,,,"チケット払戻業務
操作フロー確認",代引き,通常に受付ができること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6/13、14
,6,21,1,2,2,,,,代済み,通常に受付ができること,,,5000,0,105,5105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6/13、14
,7,21,1,2,3,,,,前払い後日発券,通常に受付ができること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
,8,21,1,3,1,,,"チケット発券業務
精算内取消",代引き,精算内取消が行えること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
9,9,21,1,3,2,,,,代済み,精算内取消が行えること,,,5000,0,105,5105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,10,21,1,3,3,,,,前払い後日発券(前払い）,精算内取消が行えること,,,5000,210,105,5315,0,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,前払い6/13,6月13日
,11,21,1,3,4,,,,前払い後日発券(後日発券）,精算内取消が行えること,,,5000,210,105,105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
12,12,21,1,3,5,,,,前払い,精算内取消が行えること,,,5000,210,0,5210,1,2012/6/20 0:00,-,-,,6月13日
,13,21,1,4,1,,,"チケット発券業務
精算内取消後再度受付",代引き,精算内取消を行った後、受付が行えること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,14,21,1,4,2,,,,代済み,精算内取消を行った後、受付が行えること,,,5000,0,105,5105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,15,21,1,4,3,,,,前払い後日発券(前払い）,精算内取消を行った後、受付が行えること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,前払い6/13,6月13日
,16,21,1,4,4,,,,前払い後日発券(後日発券）,精算内取消を行った後、受付が行えること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
,17,21,1,4,5,,,,前払い,精算内取消を行った後、受付が行えること,,,5000,210,0,5210,1,2012/6/20 0:00,-,-,,6月13日
18,18,21,1,5,1,,,"チケット発券業務
保留確認",保留　→　代引き,一般商品保留取引があってもチケット発券が行えること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,19,21,1,5,2,,,,保留　→　代済み,一般商品保留取引があってもチケット発券が行えること,,,5000,0,105,5105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,20,21,1,5,3,,,,保留　→　前払い後日発券（前払い）,一般商品保留取引があっても支払いが行えること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,前払い6/13,6月13日
,21,21,1,5,4,,,,保留　→　前払い後日発券（発券）,一般商品保留取引があっても発券が行えること,,,5000,210,105,105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
,22,21,1,5,5,,,,保留　→　前払い,一般商品保留取引があっても支払いが行えること,,,5000,210,0,5210,0,2012/6/20 0:00,-,-,,6月13日
23,23,21,1,6,1,,,チケット再登録不可,代引き　,再度払込票番号登録しても再登録ができないこと,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,24,21,1,6,2,,,,代済み,再度払込票番号登録しても再登録ができないこと,,,5000,0,105,5105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,25,21,1,6,3,,,,前払い後日発券（前払い）,再度払込票番号登録しても再登録ができないこと,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,前払い6/13,6月13日
,26,21,1,6,4,,,,前払い後日発券（発券）,再度払込票番号登録しても再登録ができないこと,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
27,27,21,1,6,5,,,,前払い,再度払込票番号登録しても再登録ができないこと,,,5000,210,0,5210,0,2012/6/20 0:00,-,-,,6月13日
28,28,21,1,7,1,,,複数枚払込票受付,代引き→代引き,２枚目の払込票が受付できないこと,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
29,28,21,1,7,1,,,,,,,,1000,210,105,1315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,
,29,21,1,7,2,,,,代引き→代済み,２枚目の払込票が受付できないこと,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,29,21,1,7,2,,,,,,,,1000,0,105,1105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,
,30,21,1,7,3,,,,代引き→前払い後日発券（前払い）,２枚目の払込票の受付ができること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,30,21,1,7,3,,,,,,,,1000,210,105,1315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,
,31,21,1,7,4,,,,代引き→前払い後日発券（発券）,２枚目の払込票の受付ができないこと,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
,31,21,1,7,4,,,,,,,,1000,210,105,1315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,
36,32,21,1,7,5,,,,代引き→前払い,２枚目の払込票の受付ができること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
37,32,21,1,7,5,,,,,,,,1000,210,0,1210,0,2012/6/20 0:00,-,-,,
,33,21,1,7,6,,,,代済み→代済み,２枚目の払込票が受付できないこと,,,5000,0,105,5105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,33,21,1,7,6,,,,,,,,1000,0,105,1105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,
,34,21,1,7,7,,,,代済み→前払い後日発券（前払い）,２枚目の払込票の受付ができること,,,5000,0,105,5105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,34,21,1,7,7,,,,,,,,1000,210,0,1210,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,
,35,21,1,7,8,,,,代済み→前払い後日発券（発券）,２枚目の払込票が受付できないこと,,,5000,0,105,5105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
,35,21,1,7,8,,,,,,,,1000,210,105,1315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,
,36,21,1,7,9,,,,代済み→前払い,２枚目の払込票の受付ができること,,,5000,0,105,5105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,36,21,1,7,9,,,,,,,,1000,210,0,1210,0,2012/6/20 0:00,-,-,,
,37,21,1,7,10,,,,前払い後日発券（前払い）→前払い後日発券（前払い）,２枚目の払込票の受付ができること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,37,21,1,7,10,,,,,,,,1000,210,105,1315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,
,38,21,1,7,11,,,,前払い後日発券（前払い）→前払い後日発券（発券）,２枚目の払込票の受付ができること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
,38,21,1,7,11,,,,,,,,1000,210,105,1315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,
,39,21,1,7,12,,,,前払い後日発券（前払い）→前払い,２枚目の払込票の受付ができること,,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,39,21,1,7,12,,,,,,,,1000,210,0,1210,0,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,
,40,21,1,7,13,,,,前払い→前払い,２枚目の払込票の受付ができること,,,5000,210,0,5310,0,2012/6/20 0:00,-,-,,6月13日
,40,21,1,7,13,,,,,,,,1000,210,0,1210,0,2012/6/20 0:00,-,-,,
,41,21,1,8,1,,,混在受付,代引き→通常商品,すべての取引が受付できること,,,"5000
","210
","105
","5315
","1
",2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,42,21,1,8,2,,,,代引き→ＩＮ決済,すべての取引が受付できること,,,"5000
","210
","105
","5315
","1
",2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,43,21,1,8,3,,,,代済み→通常商品,すべての取引が受付できること,,,"5000
","0
","105
","5105
","1
",2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,44,21,1,8,4,,,,代済み→ＩＮ決済,すべての取引が受付できること,,,"5000
","0
","105
","5105
","1
",2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
