旧通番,通番,"大
分類","中
分類",小分類,No.,大分類名,中分類名,小分類名,テストシナリオ,確認ポイント,払込票番号,引換票番号,"チケット
代金","チケット
購入代金","チケット
発券代金","合計
金額","発券
枚数","支払い
期限日時","発券
期限日時","発券
開始日時",実施日
,,,,,,,,,,,,,,,,,,,,,
1,1,23,1,1,1,ハードウェア異常シナリオテスト,通信異常,"払込票番号登録前通信
接続断",払込票番号登録前に接続断（代引き）,強制終了後復旧→再度登録できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/14
,2,23,1,1,2,,,,払込票番号登録前に接続断（代済み）,強制終了後復旧→再度登録できること,,,5000,0,105,5105,1,6/20,6/20,6/11,6/14
,3,23,1,1,2,,,,払込票番号登録前に接続断（前払い後日発券・前払い）,強制終了後復旧→再度登録できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/14
,4,23,1,1,3,,,,払込票番号登録前に接続断（前払い後日発券・発券）,強制終了後復旧→再度登録できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/13、14
,5,23,1,1,3,,,,払込票番号登録前に接続断（前払い）,強制終了後復旧→再度登録できること,,,5000,210,0,5210,0,6/20,6/20,6/11,6/14
,6,23,1,2,1,,,"払込票番号登録後通信
接続断",払込票番号登録後に接続断（代引き）,迂回通信されて問題なく入金発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/14
,7,23,1,2,2,,,,払込票番号登録後に接続断（代済み）,迂回通信されて問題なく入金発券できること,,,5000,0,105,5105,1,6/20,6/20,6/11,6/14
,8,23,1,2,3,,,,払込票番号登録後に接続断（前払い後日発券・前払い）,迂回通信されて問題なく入金発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/14
,9,23,1,2,4,,,,払込票番号登録後に接続断（前払い後日発券・発券）,迂回通信されて問題なく入金発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/13、14
,10,23,1,2,5,,,,払込票番号登録後に接続断（前払い）,迂回通信されて問題なく入金発券できること,,,5000,210,0,5210,0,6/20,6/20,6/11,6/14
,11,23,2,1,1,,プリンタ応答,"プリンターエラー
チケット発券時","プリンターエラー：電源ＯＦＦ(代引き）
発券済みチケット：無",復旧後正常に発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/14
,12,23,2,1,2,,,,"プリンターエラー：電源ＯＦＦ－ＯＮ（代引き）
発券済みチケット：有",復旧後正常に発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/14
,13,23,2,1,3,,,,"プリンターエラー：カバーオープン（代引き）
再印字：中止
発券済みチケット：有",想定通り発券中止となること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/14
,14,23,2,1,4,,,,"プリンターエラー：カッターエラー（代引き）
再印字：正常",復旧後正常に発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/14
,15,23,2,1,5,,,,"プリンターエラー：紙詰まりエラー（代引き）
再印字：正常",復旧後正常に発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/14
,16,23,2,1,6,,,,"プリンターエラー：紙無しエラー（代引き）
再印字：正常",復旧後正常に発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/14
,17,23,2,1,7,,,,"プリンターエラー：電源ＯＦＦ(代済み）
発券済みチケット：無",復旧後正常に発券できること,,,5000,0,105,5105,1,6/20,6/20,6/11,6/14
,18,23,2,1,8,,,,"プリンターエラー：電源ＯＦＦ－ＯＮ（代済み）
発券済みチケット：有",復旧後正常に発券できること,,,5000,0,105,5105,1,6/20,6/20,6/11,6/14
,19,23,2,1,9,,,,"プリンターエラー：カバーオープン（代済み）
再印字：中止
発券済みチケット：有",想定通り発券中止となること,,,5000,0,105,5105,1,6/20,6/20,6/11,6/14
,20,23,2,1,10,,,,"プリンターエラー：カッターエラー（代済み）
再印字：正常",復旧後正常に発券できること,,,5000,0,105,5105,1,6/20,6/20,6/11,6/14
,21,23,2,1,11,,,,"プリンターエラー：紙詰まりエラー（代済み）
再印字：正常",復旧後正常に発券できること,,,5000,0,105,5105,1,6/20,6/20,6/11,6/14
,22,23,2,1,12,,,,"プリンターエラー：紙無しエラー（代済み）
再印字：正常",復旧後正常に発券できること,,,5000,0,105,5105,1,6/20,6/20,6/11,6/14
,23,23,2,1,13,,,,"プリンターエラー：電源ＯＦＦ(前払い後日発券・発券）
発券済みチケット：無",復旧後正常に発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/13、14
,24,23,2,1,14,,,,"プリンターエラー：電源ＯＦＦ－ＯＮ（前払い後日発券・発券）
発券済みチケット：有",復旧後正常に発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/13、14
,25,23,2,1,15,,,,"プリンターエラー：カバーオープン（前払い後日発券・発券）
再印字：中止
発券済みチケット：有",想定通り発券中止となること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/13、14
,26,23,2,1,16,,,,"プリンターエラー：カッターエラー（前払い後日発券・発券）
再印字：正常",復旧後正常に発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/13、14
,27,23,2,1,17,,,,"プリンターエラー：紙詰まりエラー（前払い後日発券・発券）
再印字：正常",復旧後正常に発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/13、14
,28,23,2,1,18,,,,"プリンターエラー：紙無しエラー（前払い後日発券・発券）
再印字：正常",復旧後正常に発券できること,,,5000,210,105,5315,1,6/20,6/20,6/11,6/13、14
